pathway_id,I,type,tissue
hsa04024,0.2467461391180197,gsva,MALDI_259_T
hsa00520,0.22417563308956512,gsva,MALDI_259_T
hsa00564,0.21238072851049408,gsva,MALDI_259_T
hsa00561,0.18280089994785506,gsva,MALDI_259_T
hsa04723,0.1496363570032043,gsva,MALDI_259_T
hsa04148,0.14825215018106488,gsva,MALDI_259_T
hsa00600,0.4182362310147039,kpca,MALDI_260_T
hsa04072,0.3157350830853843,kpca,MALDI_260_T
hsa04024,0.3157350830853843,kpca,MALDI_260_T
hsa05231,0.284495260313185,kpca,MALDI_260_T
hsa04071,0.27653394240764323,kpca,MALDI_260_T
hsa04723,0.26652812836801576,kpca,MALDI_260_T
hsa04148,0.2092226356789682,kpca,MALDI_260_T
hsa00561,0.16892369761943077,kpca,MALDI_260_T
hsa00564,0.16279115033634253,kpca,MALDI_260_T
hsa00520,0.10421030751788508,kpca,MALDI_260_T
hsa00600,0.4795432807950982,gsva,MALDI_260_T
hsa05231,0.31863332056667376,gsva,MALDI_260_T
hsa04071,0.2686368924601446,gsva,MALDI_260_T
hsa04072,0.2467461391180197,gsva,MALDI_260_T
hsa04024,0.2467461391180197,gsva,MALDI_260_T
hsa00520,0.22417563308956512,gsva,MALDI_260_T
hsa00564,0.21238072851049417,gsva,MALDI_260_T
hsa00561,0.1828008999478551,gsva,MALDI_260_T
hsa04723,0.1496363570032043,gsva,MALDI_260_T
hsa04148,0.14825215018106488,gsva,MALDI_260_T
hsa00600,0.418236231211629,kpca,MALDI_262_T
hsa04072,0.3157350829745387,kpca,MALDI_262_T
hsa04024,0.3157350829745387,kpca,MALDI_262_T
hsa05231,0.2844952604108049,kpca,MALDI_262_T
hsa04071,0.2765339430015017,kpca,MALDI_262_T
hsa04723,0.2665281288066749,kpca,MALDI_262_T
hsa04148,0.20922263523865214,kpca,MALDI_262_T
hsa00561,0.16892369787457032,kpca,MALDI_262_T
hsa00564,0.1627911496904226,kpca,MALDI_262_T
hsa00520,0.1042103084538135,kpca,MALDI_262_T
hsa00600,0.4795432807950982,gsva,MALDI_262_T
hsa05231,0.31863332056667376,gsva,MALDI_262_T
hsa04071,0.2686368924601446,gsva,MALDI_262_T
hsa04072,0.2467461391180197,gsva,MALDI_262_T
hsa04024,0.2467461391180197,gsva,MALDI_262_T
hsa00520,0.22417563308956512,gsva,MALDI_262_T
hsa00564,0.21238072851049408,gsva,MALDI_262_T
hsa00561,0.18280089994785506,gsva,MALDI_262_T
hsa04723,0.1496363570032043,gsva,MALDI_262_T
hsa04148,0.1482521501810649,gsva,MALDI_262_T
hsa00600,0.41823623068975496,kpca,MALDI_269_T
hsa04072,0.3157350830318351,kpca,MALDI_269_T
hsa04024,0.3157350830318351,kpca,MALDI_269_T
hsa05231,0.2844952603212079,kpca,MALDI_269_T
hsa04071,0.27653394240857715,kpca,MALDI_269_T
hsa04723,0.26652812883749893,kpca,MALDI_269_T
hsa04148,0.20922263564527963,kpca,MALDI_269_T
hsa00561,0.1689236978394439,kpca,MALDI_269_T
hsa00564,0.16279115033796812,kpca,MALDI_269_T
hsa00520,0.10421030842033313,kpca,MALDI_269_T
hsa00600,0.4795432807950982,gsva,MALDI_269_T
hsa05231,0.31863332056667376,gsva,MALDI_269_T
hsa04071,0.2686368924601446,gsva,MALDI_269_T
hsa04072,0.2467461391180197,gsva,MALDI_269_T
hsa04024,0.2467461391180197,gsva,MALDI_269_T
hsa00520,0.22417563308956512,gsva,MALDI_269_T
hsa00564,0.21238072851049417,gsva,MALDI_269_T
hsa00561,0.1828008999478551,gsva,MALDI_269_T
hsa04723,0.1496363570032043,gsva,MALDI_269_T
hsa04148,0.14825215018106488,gsva,MALDI_269_T
hsa00600,0.4182362311968271,kpca,MALDI_275_T
hsa04072,0.3157350830722619,kpca,MALDI_275_T
hsa04024,0.3157350830722619,kpca,MALDI_275_T
hsa05231,0.28449526042022166,kpca,MALDI_275_T
hsa04071,0.27653394310369084,kpca,MALDI_275_T
hsa04723,0.2665281291928438,kpca,MALDI_275_T
hsa04148,0.20922263530458987,kpca,MALDI_275_T
hsa00561,0.16892369786771264,kpca,MALDI_275_T
hsa00564,0.1627911498195572,kpca,MALDI_275_T
hsa00520,0.10421030834770889,kpca,MALDI_275_T
hsa00600,0.4795432807950982,gsva,MALDI_275_T
hsa05231,0.31863332056667376,gsva,MALDI_275_T
hsa04071,0.2686368924601446,gsva,MALDI_275_T
hsa04072,0.2467461391180197,gsva,MALDI_275_T
hsa04024,0.2467461391180197,gsva,MALDI_275_T
hsa00520,0.22417563308956512,gsva,MALDI_275_T
hsa00564,0.21238072851049408,gsva,MALDI_275_T
hsa00561,0.18280089994785506,gsva,MALDI_275_T
hsa04723,0.1496363570032043,gsva,MALDI_275_T
hsa04148,0.1482521501810649,gsva,MALDI_275_T
hsa00600,0.27061821192262536,kpca,Cerebellum-mouse
hsa00564,0.05052033041454012,kpca,Cerebellum-mouse
hsa05231,0.030494023762217333,kpca,Cerebellum-mouse
hsa04723,0.027370957050878535,kpca,Cerebellum-mouse
hsa00564,0.16994289792494263,gsva,Cerebellum-mouse
hsa00600,0.16751038618007233,gsva,Cerebellum-mouse
hsa04723,0.16306606908051624,gsva,Cerebellum-mouse
hsa05231,0.16262354697233264,gsva,Cerebellum-mouse
hsa02010,0.13961598581209478,kpca,Brain-healthy-mouse
hsa00600,0.049723813039086275,kpca,Brain-healthy-mouse
hsa04723,0.029039413893938788,kpca,Brain-healthy-mouse
hsa05231,0.024155473153271576,kpca,Brain-healthy-mouse
hsa00564,0.023984482776362115,kpca,Brain-healthy-mouse
hsa04217,0.003831243379171625,kpca,Brain-healthy-mouse
hsa04071,0.003831243379171625,kpca,Brain-healthy-mouse
hsa04723,0.2943531446023285,gsva,Brain-healthy-mouse
hsa00564,0.2943229703286179,gsva,Brain-healthy-mouse
hsa05231,0.27639387390441034,gsva,Brain-healthy-mouse
hsa00600,0.2492680245241353,gsva,Brain-healthy-mouse
hsa02010,0.18062888195887108,gsva,Brain-healthy-mouse
hsa04217,0.06046147257659506,gsva,Brain-healthy-mouse
hsa04071,0.06046147257659506,gsva,Brain-healthy-mouse
hsa02010,0.1311131130767325,kpca,Kidney-mouse
hsa00600,0.03724046719609729,kpca,Kidney-mouse
hsa04723,0.026306630784130185,kpca,Kidney-mouse
hsa00564,0.019728473020060606,kpca,Kidney-mouse
hsa05231,0.019623169719592968,kpca,Kidney-mouse
hsa04217,0.005397185298975697,kpca,Kidney-mouse
hsa04071,0.005397185298975697,kpca,Kidney-mouse
hsa00600,0.2773353721378742,gsva,Kidney-mouse
hsa00564,0.15981809329262736,gsva,Kidney-mouse
hsa04723,0.14719571772794915,gsva,Kidney-mouse
hsa02010,0.13388735816032402,gsva,Kidney-mouse
hsa05231,0.11553481622479143,gsva,Kidney-mouse
hsa04217,0.06559957822264491,gsva,Kidney-mouse
hsa04071,0.06559957822264491,gsva,Kidney-mouse
hsa04979,0.7284107402910408,kpca,Liver-brca-mouse
hsa00120,0.7281155230582614,kpca,Liver-brca-mouse
hsa00430,0.6291219961722756,kpca,Liver-brca-mouse
hsa00920,0.6291219961722756,kpca,Liver-brca-mouse
hsa04072,0.5915846787314659,kpca,Liver-brca-mouse
hsa04964,0.5685676657513103,kpca,Liver-brca-mouse
hsa00470,0.5590172697706814,kpca,Liver-brca-mouse
hsa05230,0.5590172677867914,kpca,Liver-brca-mouse
hsa00970,0.5590172677867914,kpca,Liver-brca-mouse
hsa00220,0.5590172677867914,kpca,Liver-brca-mouse
hsa05014,0.5443263556561267,kpca,Liver-brca-mouse
hsa00910,0.5389494954606224,kpca,Liver-brca-mouse
hsa04724,0.5389494954606224,kpca,Liver-brca-mouse
hsa04727,0.5389494954606224,kpca,Liver-brca-mouse
hsa00630,0.5389494954606224,kpca,Liver-brca-mouse
hsa00250,0.5389494954606224,kpca,Liver-brca-mouse
hsa04150,0.5026699604838005,kpca,Liver-brca-mouse
hsa00230,0.48054903025003826,kpca,Liver-brca-mouse
hsa00240,0.4426874597032581,kpca,Liver-brca-mouse
hsa04070,0.4241879543441884,kpca,Liver-brca-mouse
hsa04148,0.4038101421833999,kpca,Liver-brca-mouse
hsa04024,0.3990067435652501,kpca,Liver-brca-mouse
hsa00330,0.39335684231348134,kpca,Liver-brca-mouse
hsa00500,0.35778296282827793,kpca,Liver-brca-mouse
hsa00051,0.33083285708016985,kpca,Liver-brca-mouse
hsa00030,0.3178108130277559,kpca,Liver-brca-mouse
hsa00053,0.3178108130277559,kpca,Liver-brca-mouse
hsa04723,0.2567791927886267,kpca,Liver-brca-mouse
hsa00565,0.24714267531486395,kpca,Liver-brca-mouse
hsa00052,0.21981354801494493,kpca,Liver-brca-mouse
hsa05231,0.21063637208416722,kpca,Liver-brca-mouse
hsa00860,0.17945962059912662,kpca,Liver-brca-mouse
hsa04216,0.11231634392861145,kpca,Liver-brca-mouse
